ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-05-24,4.149284504510208,1.1243345397899074,7.947991786829616,4.149284504510208,4.149284504510208,0.4539059929784625,0.4539059929784625,0.4539059929784625,0.4539059929784625,0.4539059929784625,0.4539059929784625,0.0,0.0,0.0,4.60319049748867
2021-05-31,4.152980291288633,1.7900652884872053,8.854424758026035,4.152980291288633,4.152980291288633,1.0613297650404463,1.0613297650404463,1.0613297650404463,1.0613297650404463,1.0613297650404463,1.0613297650404463,0.0,0.0,0.0,5.214310056329079
2021-06-07,4.156676078067058,1.3052710882255645,8.38165195952694,4.156676078067058,4.156676078067058,0.7254035102625589,0.7254035102625589,0.7254035102625589,0.7254035102625589,0.7254035102625589,0.7254035102625589,0.0,0.0,0.0,4.882079588329617
2021-06-14,4.1603718648537695,0.08767289322470945,7.665631326233899,4.1603718648537695,4.1603718648537695,-0.19721112270335533,-0.19721112270335533,-0.19721112270335533,-0.19721112270335533,-0.19721112270335533,-0.19721112270335533,0.0,0.0,0.0,3.9631607421504143
2021-06-21,4.164067651640481,-0.2023127428157085,6.957389498107974,4.164067651640481,4.164067651640481,-0.8599657482573846,-0.8599657482573846,-0.8599657482573846,-0.8599657482573846,-0.8599657482573846,-0.8599657482573846,0.0,0.0,0.0,3.3041019033830965
2021-06-28,4.167763438427192,-0.008883194456136298,7.0804924729853544,4.167763438427192,4.167763438427192,-0.7732539165243656,-0.7732539165243656,-0.7732539165243656,-0.7732539165243656,-0.7732539165243656,-0.7732539165243656,0.0,0.0,0.0,3.3945095219028265
2021-07-05,4.171459225213904,0.35261476061214114,7.445287862340846,4.171459225213904,4.171459225213904,-0.17528911318984453,-0.17528911318984453,-0.17528911318984453,-0.17528911318984453,-0.17528911318984453,-0.17528911318984453,0.0,0.0,0.0,3.9961701120240596
2021-07-12,4.175155012000615,0.8348957769416405,8.063292718245542,4.175155012000615,4.175155012000615,0.38859629543965385,0.38859629543965385,0.38859629543965385,0.38859629543965385,0.38859629543965385,0.38859629543965385,0.0,0.0,0.0,4.563751307440269
2021-07-19,4.178850798787328,1.2385477042056057,8.31913319830762,4.178850798787328,4.178850798787328,0.6698621375032704,0.6698621375032704,0.6698621375032704,0.6698621375032704,0.6698621375032704,0.6698621375032704,0.0,0.0,0.0,4.848712936290598
2021-07-26,4.182546585734039,1.227017891876373,8.369843418972916,4.182546585734039,4.182546585734039,0.7927724337731765,0.7927724337731765,0.7927724337731765,0.7927724337731765,0.7927724337731765,0.7927724337731765,0.0,0.0,0.0,4.975319019507216
2021-08-02,4.186242372680753,1.4966403565099726,8.793039809397522,4.186242372680753,4.186242372680753,0.8530827503043574,0.8530827503043574,0.8530827503043574,0.8530827503043574,0.8530827503043574,0.8530827503043574,0.0,0.0,0.0,5.03932512298511
2021-08-09,4.189938159627466,1.423161871485145,8.239921311171088,4.189938159627466,4.189938159627466,0.6881286767616918,0.6881286767616918,0.6881286767616918,0.6881286767616918,0.6881286767616918,0.6881286767616918,0.0,0.0,0.0,4.8780668363891575
