ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,balance_promedio_norm,balance_promedio_norm_lower,balance_promedio_norm_upper,churn_rate_norm,churn_rate_norm_lower,churn_rate_norm_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,productos_activos_norm,productos_activos_norm_lower,productos_activos_norm_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-06,66583775.34290563,74893799.71493775,226824729.55061516,66583775.34290563,66583775.34290563,80779039.68345429,80779039.68345429,80779039.68345429,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,70421814.5746805,70421814.5746805,70421814.5746805,0.0,0.0,0.0,147362815.02635992
2023-03-13,67058560.78781727,85295866.06678446,226699116.13909626,67058560.78781727,67058560.78781727,86671304.9651881,86671304.9651881,86671304.9651881,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,76314079.8564143,76314079.8564143,76314079.8564143,0.0,0.0,0.0,153729865.7530054
2023-03-20,67533346.23272891,63176974.812320456,206250207.5204509,67533346.23272891,67533346.23272891,68175596.8466804,68175596.8466804,68175596.8466804,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,57818371.737906605,57818371.737906605,57818371.737906605,0.0,0.0,0.0,135708943.0794093
2023-03-27,68008131.67764054,28226185.744110115,176724303.4869256,68008131.67764054,68008131.67764054,35005570.22044772,35005570.22044772,35005570.22044772,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,24648345.111673914,24648345.111673914,24648345.111673914,0.0,0.0,0.0,103013701.89808826
2023-04-03,68482918.06225114,-477619.7557207247,144853578.1230325,68482918.06225114,68482918.06225114,6208143.485623288,6208143.485623288,6208143.485623288,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-4149081.623150508,-4149081.623150508,-4149081.623150508,0.0,0.0,0.0,74691061.54787442
2023-04-10,68957704.44686173,-10974650.122433089,137146588.9719767,68957704.44686173,68957704.44686173,-4320143.861398126,-4320143.861398126,-4320143.861398126,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-14677368.970171921,-14677368.970171921,-14677368.970171921,0.0,0.0,0.0,64637560.585463606
2023-04-17,69432490.8314723,-3610708.399944136,148765126.68252566,69432490.8314723,69432490.8314723,1774618.7705715592,1774618.7705715592,1774618.7705715592,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-8582606.338202238,-8582606.338202238,-8582606.338202238,0.0,0.0,0.0,71207109.60204387
2023-04-24,69907277.2160829,6165210.273855632,151221670.96326724,69907277.2160829,69907277.2160829,10145076.578762813,10145076.578762813,10145076.578762813,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-212148.53001098274,-212148.53001098274,-212148.53001098274,0.0,0.0,0.0,80052353.79484572
2023-05-01,70382063.72720146,2212603.2630540607,143980908.26722318,70382063.72720146,70382063.72720146,7283496.597697315,7283496.597697315,7283496.597697315,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-3073728.511076481,-3073728.511076481,-3073728.511076481,0.0,0.0,0.0,77665560.32489878
2023-05-08,70856850.23832001,-13843402.359137243,137592965.4080489,70856850.23832001,70856850.23832001,-7528439.324424061,-7528439.324424061,-7528439.324424061,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-17885664.43319786,-17885664.43319786,-17885664.43319786,0.0,0.0,0.0,63328410.91389595
2023-05-15,71331636.74943857,-28261056.591909666,119680377.37952988,71331636.74943857,71331636.74943857,-22615319.23558539,-22615319.23558539,-22615319.23558539,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-32972544.34435919,-32972544.34435919,-32972544.34435919,0.0,0.0,0.0,48716317.51385318
2023-05-22,71806423.26496555,-22448863.951420326,123136501.83331756,71806423.26496555,71806423.26496555,-25734350.970178355,-25734350.970178355,-25734350.970178355,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-36091576.078952156,-36091576.078952156,-36091576.078952156,0.0,0.0,0.0,46072072.2947872
2023-05-29,72281209.78049251,-8646079.755641576,133332598.38766482,72281209.78049251,72281209.78049251,-15674568.56242686,-15674568.56242686,-15674568.56242686,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-26031793.671200655,-26031793.671200655,-26031793.671200655,0.0,0.0,0.0,56606641.21806566
2023-06-05,72755996.2960195,1205051.5581488174,139674288.26438615,72755996.2960195,72755996.2960195,-2564722.254726191,-2564722.254726191,-2564722.254726191,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-12921947.363499988,-12921947.363499988,-12921947.363499988,0.0,0.0,0.0,70191274.04129331
2023-06-12,73230782.81294224,616948.8694617769,144803014.83366534,73230782.81294224,73230782.81294224,2827685.265374803,2827685.265374803,2827685.265374803,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-7529539.843398992,-7529539.843398992,-7529539.843398992,0.0,0.0,0.0,76058468.07831705
2023-06-19,73705569.32986498,4612141.0266069705,144251897.12791723,73705569.32986498,73705569.32986498,-333977.9898914893,-333977.9898914893,-333977.9898914893,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-10691203.098665286,-10691203.098665286,-10691203.098665286,0.0,0.0,0.0,73371591.3399735
2023-06-26,74180355.84678772,1851351.2772642067,140279702.33641353,74180355.84678772,74180355.84678772,-3213031.2438089396,-3213031.2438089396,-3213031.2438089396,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-13570256.352582736,-13570256.352582736,-13570256.352582736,0.0,0.0,0.0,70967324.60297878
2023-07-03,74655142.36371048,1956136.5773087514,148111657.18724707,74655142.36371048,74655142.36371048,2155087.1353198634,2155087.1353198634,2155087.1353198634,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-8202137.973453934,-8202137.973453934,-8202137.973453934,0.0,0.0,0.0,76810229.49903034
2023-07-10,75129928.87821218,14333434.788146269,163051114.2454932,75129928.87821218,75129928.87821218,13179614.12336062,13179614.12336062,13179614.12336062,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,2822389.014586825,2822389.014586825,2822389.014586825,0.0,0.0,0.0,88309543.0015728
2023-07-17,75604715.39271392,21313241.07089337,166660414.37333274,75604715.39271392,75604715.39271392,18239934.295104597,18239934.295104597,18239934.295104597,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,7882709.186330801,7882709.186330801,7882709.186330801,0.0,0.0,0.0,93844649.68781851
2023-07-24,76079501.90721563,9088469.903983349,149126750.14030176,76079501.90721563,76079501.90721563,8359241.913306403,8359241.913306403,8359241.913306403,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-1997983.195467393,-1997983.195467393,-1997983.195467393,0.0,0.0,0.0,84438743.82052203
2023-07-31,76554288.42553724,-8423122.537553372,134832348.30460098,76554288.42553724,76554288.42553724,-12471786.607205564,-12471786.607205564,-12471786.607205564,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-22829011.71597936,-22829011.71597936,-22829011.71597936,0.0,0.0,0.0,64082501.81833168
2023-08-07,77029074.94385886,-27576936.61905684,117597320.20269366,77029074.94385886,77029074.94385886,-28768547.5821699,-28768547.5821699,-28768547.5821699,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-39125772.690943696,-39125772.690943696,-39125772.690943696,0.0,0.0,0.0,48260527.36168896
2023-08-14,77503861.46218047,-22131444.624875873,123231889.52214305,77503861.46218047,77503861.46218047,-25890235.688421454,-25890235.688421454,-25890235.688421454,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-36247460.79719525,-36247460.79719525,-36247460.79719525,0.0,0.0,0.0,51613625.77375901
2023-08-21,77978647.97939608,3975371.556374103,143937267.63899177,77978647.97939608,77978647.97939608,-2021340.3127816669,-2021340.3127816669,-2021340.3127816669,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-12378565.421555463,-12378565.421555463,-12378565.421555463,0.0,0.0,0.0,75957307.66661441
2023-08-28,78453434.49661167,33715378.318104446,182399206.20197618,78453434.49661167,78453434.49661167,30681948.786606893,30681948.786606893,30681948.786606893,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,20324723.6778331,20324723.6778331,20324723.6778331,0.0,0.0,0.0,109135383.28321856
2023-09-04,78928221.01382726,65289298.201290414,209574319.3563324,78928221.01382726,78928221.01382726,55841180.39615082,55841180.39615082,55841180.39615082,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,45483955.28737702,45483955.28737702,45483955.28737702,0.0,0.0,0.0,134769401.4099781
2023-09-11,79403007.53104287,65084770.2325354,214068723.11264744,79403007.53104287,79403007.53104287,64097752.67946894,64097752.67946894,64097752.67946894,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,53740527.57069514,53740527.57069514,53740527.57069514,0.0,0.0,0.0,143500760.2105118
